station_id;lat;lng
276;48.8794816;2.388647
277;48.7652296;2.2723341
278;48.814875;2.4592711
279;48.9222845;2.4476628
280;48.8168;2.466878
281;48.8250327;2.3725162
282;48.8624631;2.3393006
283;48.85273;2.335816
284;48.85844;2.402911
285;48.8699519;2.3952568
286;48.79932;2.304576
288;48.7985337;2.3269032
289;48.7929328;2.3217392
290;48.7862756;2.3403992
291;48.785493;2.3288415
292;48.824901;2.2752102
293;48.8238961;2.2621859
294;48.8229419;2.2755104
295;48.8202532;2.4745761
296;48.91354;2.25703
297;48.9311;2.424912
298;48.8242495;2.3038947
299;48.82195;2.345853
300;48.862875;2.3765261
301;48.8541989;2.345341
302;48.7842765;2.3027628
303;48.8137426;2.2959516
304;48.8829721;2.2040354
305;48.8926309;2.2063258
306;48.8983625;2.2475158
307;48.8472143;2.3717355
308;48.82317;2.29935
309;48.875921;2.3382898
310;48.86121;2.224382
311;48.87057;2.301121
312;48.8883596;2.3480345
313;48.92155;2.445802
314;48.9166381;2.4362063
315;48.8232903;2.3967025
316;48.8256986;2.3263394
317;48.83731;2.278682
318;48.8268565;2.3665764
319;48.8489613;2.3287351
320;48.9069487;2.2694015
321;48.8777608;2.4267206
322;48.9226538;2.320639
323;48.86502;2.360503
324;48.9102315;2.3441112
325;48.8632187;2.388968
326;48.8648594;2.3329713
327;48.85971;2.34024
328;48.8700633;2.3340228
329;48.8665042;2.3578808
330;48.8628;2.3660304
331;48.86972;2.326691
332;48.8716413;2.3338862
333;48.841876;2.375976
334;48.8303916;2.356917
335;48.8345527;2.3361913
336;48.8445403;2.2771564
337;48.8404209;2.3042578
338;48.888195;2.3730799
339;48.8886727;2.378104
340;48.86191;2.388035
341;48.9233235;2.2853356
342;48.7991008;2.3177148
343;48.8059298;2.3143019
344;48.7990591;2.2625392
345;48.9236174;2.2483611
346;48.78919;2.293033
347;48.93025;2.301087
348;48.8294072;2.2644545
349;48.8284904;2.2748136
350;48.8310957;2.2665501
351;48.8326967;2.2682505
352;48.821914;2.252089
353;48.8167;2.260423
354;48.8118151;2.2811943
355;48.89591;2.198215
356;48.8867168;2.2192059
357;48.89586;2.216845
358;48.8953323;2.1910555
359;48.89605;2.214383
360;48.8893048;2.1678526
361;48.7793414;2.2814988
362;48.82682;2.22331
363;48.9207972;2.4559699
364;48.90573;2.321015
365;48.8052961;2.3374929
367;48.77664;2.467872
368;48.78363;2.456881
369;48.7784312;2.4623984
370;48.7706043;2.4707901
371;48.791297;2.44581
372;48.8007041;2.4568599
373;48.7803;2.469707
374;48.8245149;2.4753934
375;48.8435084;2.4171838
376;48.79006;2.313115
377;48.8618934;2.3029282
378;48.848923;2.3045476
379;48.8525733;2.3830368
380;48.8511276;2.3106373
381;48.8772454;2.3612521
382;48.92257;2.25258
383;48.86322;2.201247
384;48.93327;2.455181
385;48.8430076;2.3280363
386;48.8553541;2.305473
387;48.8425947;2.2920513
388;48.8727407;2.3782985
389;48.89231;2.214089
390;48.8998826;2.2242026
391;48.86847;2.223116
392;48.8741;2.227249
393;48.81456;2.413135
394;48.8618708;2.2133061
395;48.8473613;2.3263246
396;48.85478;2.32588
397;48.87081;2.354076
398;48.89334;2.198058
399;48.8482825;2.315725
400;48.8558178;2.3152447
401;48.9082928;2.3400493
402;48.9178855;2.3323373
403;48.9278206;2.2530496
404;48.8856;2.196418
405;48.9034828;2.3470283
406;48.9088989;2.215978
407;48.850032;2.3544309
408;48.9164;2.295224
409;48.768495;2.250599
410;48.8064005;2.2982685
411;48.91757;2.307151
412;48.898941;2.1927044
413;48.91278;2.215178
414;48.87236;2.326167
415;48.901404;2.327399
416;48.8478612;2.3509722
417;48.84893;2.340624
418;48.8669712;2.2858795
419;48.85775;2.281404
420;48.8478478;2.2723059
421;48.881032;2.2956282
422;48.8920729;2.32707
423;48.8893322;2.3442809
424;48.895422;2.3499795
425;48.8913286;2.3385496
426;48.8903813;2.3548773
427;48.8996;2.351156
428;48.9242205;2.2942668
429;48.8420054;2.3430684
430;48.8204172;2.23413
431;48.8886703;2.213053
432;48.9219814;2.2550527
433;48.8499024;2.3444286
434;48.84934;2.350152
435;48.8471079;2.3321208
436;48.8797479;2.3214351
437;48.8696448;2.3036203
438;48.76739;2.255521
440;48.8094628;2.4344314
441;48.868181;2.335097
442;48.826;2.18935
443;48.88069;2.21063
444;48.8169462;2.2480148
445;48.8837053;2.3600404
446;48.8836044;2.3643056
447;48.8493744;2.395332
448;48.85189;2.376434
449;48.8365583;2.3592348
450;48.8730881;2.4092069
451;48.8477968;2.4060203
452;48.8638511;2.3991848
453;48.8569151;2.3941433
454;48.8495131;2.4061582
455;48.867322;2.3906964
456;48.824941;2.2680704
457;48.8295855;2.2836035
458;48.82148;2.22769
459;48.8906294;2.1983695
460;48.8854172;2.2116588
461;48.8917059;2.3690678
462;48.894;2.380947
463;48.8279725;2.3721949
464;48.869353;2.3382066
465;48.8415;2.338973
466;48.8800786;2.3455235
467;48.8804478;2.3283632
468;48.8686522;2.374656
469;48.8470504;2.3815222
470;48.846304;2.410751
471;48.8444;2.407044
472;48.8355193;2.3850356
473;48.8186561;2.3623864
474;48.83185;2.354094
475;48.82175;2.36868
476;48.8292818;2.3744385
477;48.8368865;2.3242513
478;48.8254486;2.3117069
479;48.8237041;2.3195528
480;48.8385459;2.3126749
481;48.87678;2.284807
482;48.8639536;2.2806137
483;48.8629938;2.2857836
484;48.8911334;2.3725951
485;48.8862071;2.3665248
486;48.8846108;2.3697594
487;48.8780077;2.3966042
488;48.8806038;2.37444
489;48.9108414;2.2356811
490;48.9172575;2.2365491
491;48.914886;2.2535759
492;48.9095967;2.2387915
493;48.787686;2.2277686
494;48.8636819;2.208944
495;48.8755464;2.2319905
496;48.9196895;2.4288043
497;48.8810551;2.4223705
498;48.7738474;2.4600815
499;48.8435537;2.3061617
500;48.8699261;2.3320835
501;48.865753;2.3533572
502;48.862833;2.3593315
503;48.8403227;2.3562719
504;48.8452566;2.3548335
505;48.8479993;2.3469365
506;48.8425631;2.3363896
507;48.8524509;2.3314662
508;48.8508194;2.3237968
509;48.87357;2.3348418
510;48.8362302;2.3724643
511;48.82881;2.376281
512;48.8236394;2.3319004
513;48.854819;2.2904053
514;48.851832;2.2997986
515;48.8395783;2.2986453
516;48.8512259;2.2912934
517;48.8534164;2.2685249
518;48.8639711;2.2880679
519;48.8509978;2.2719012
520;48.8389361;2.2567427
521;48.8794622;2.2899947
522;48.88112;2.284095
523;48.8948847;2.3355224
524;48.8872522;2.3330069
525;48.813219;2.258785
526;48.81855;2.25291
527;48.83073;2.278246
528;48.82027;2.301874
529;48.8192396;2.3040697
530;48.89383;2.185795
531;48.89406;2.22547
533;48.82097;2.29165
534;48.87608;2.418952
535;48.85764;2.415732
536;48.89449;2.432462
542;48.8611263;2.4181508
543;48.8395108;2.3301676
544;48.8945881;2.3668072
545;48.8768667;2.3811899
546;48.899335;2.371162
547;48.9246525;2.259313
548;48.8187533;2.2778594
549;48.794835;2.447237
550;48.7912032;2.4504989
551;48.79177;2.459949
552;48.78148;2.354342
553;48.8351899;2.4002905
554;48.83186;2.372548
555;48.8308657;2.3339608
556;48.9258333;2.4403004
557;48.8681421;2.360276
558;48.853574;2.363958
559;48.84837;2.367915
560;48.82934;2.382635
561;48.8249705;2.3382509
562;48.8169686;2.2810709
563;48.8258129;2.2906328
564;48.779037;2.2891934
565;48.8800947;2.3134453
566;48.8019167;2.321829
567;48.85378;2.358089
568;48.8425101;2.3292257
569;48.8492973;2.3077697
570;48.88363;2.351257
571;48.8690795;2.371679
572;48.8641096;2.3799691
573;48.8356;2.350015
574;48.8231521;2.3753988
575;48.83273;2.32608
576;48.8490157;2.2874011
577;48.8458068;2.3038076
578;48.8884456;2.3160603
579;48.8887616;2.3257382
580;48.8587455;2.4101638
581;48.8518536;2.3982137
582;48.9059332;2.2852074
583;48.9152642;2.2767942
584;48.80551;2.184925
585;48.8077664;2.2350182
586;48.87681;2.173765
587;48.86324;2.181831
588;48.8680715;2.1930392
589;48.9354388;2.3261213
590;48.86504;2.417886
591;48.93211;2.426913
592;48.8826947;2.4435891
593;48.78447;2.36088
594;48.794247;2.297986
595;48.8624944;2.4096676
596;48.85206;2.314345
597;48.8469;2.343399
598;48.840277;2.3946269
599;48.82847;2.361255
600;48.88676;2.311893
601;48.8345778;2.4076458
602;48.8844148;2.3305461
603;48.8926928;2.1725973
604;48.8876242;2.1693918
605;48.87339;2.182237
606;48.8484226;2.366004
607;48.8593659;2.3195393
608;48.8662011;2.3156932
609;48.87569;2.36801
610;48.83164;2.342243
611;48.83912;2.337229
612;48.8373656;2.3059905
613;48.90176;2.38589
614;48.8857;2.3833508
615;48.888588;2.3888175
616;48.8111362;2.298583
617;48.7906824;2.28727
618;48.795005;2.274407
619;48.8142269;2.2878426
620;48.8963559;2.2076635
621;48.8855277;2.1719487
622;48.8782587;2.2967633
623;48.8319972;2.3048474
624;48.7920857;2.3065992
625;48.8839089;2.1919207
626;48.8434786;2.2994811
627;48.81909;2.319941
628;48.878643;2.3347774
629;48.8515769;2.369445
630;48.78458;2.23553
631;48.7870782;2.255763
632;48.8633915;2.3403966
633;48.855842;2.354055
634;48.8657;2.408668
635;48.8766119;2.2218839
636;48.8757323;2.4060008
637;48.82851;2.246519
638;48.9216032;2.4411713
639;48.85461;2.329982
640;48.93237;2.270769
641;48.9201379;2.2271027
642;48.8311;2.398697
643;48.8916817;2.318781
644;48.92701;2.2457526
645;48.9241686;2.4358951
646;48.8753135;2.332521
647;48.8507628;2.3319002
648;48.847875;2.3239783
649;48.8951698;2.1743332
650;48.9086393;2.2374151
651;48.9092769;2.3988432
652;48.8946957;2.4254593
653;48.84189;2.333149
654;48.7813871;2.2271271
655;48.8397733;2.3476575
656;48.8611286;2.3069867
657;48.8713288;2.295196
658;48.80476;2.260038
660;48.79988;2.281576
661;48.843154;2.321689
662;48.8473691;2.3182091
663;48.8596689;2.3542653
664;48.8451076;2.287503
665;48.795504;2.367414
666;48.8633367;2.3526978
667;48.8774174;2.3465915
668;48.8704209;2.3454538
669;48.83072;2.325855
670;48.897827;2.23817
671;48.8589682;2.3673798
672;48.8335103;2.2987201
673;48.8552045;2.3371078
674;48.79878;2.433635
675;48.76895;2.456477
676;48.9073637;2.2830507
677;48.8438007;2.341924
678;48.835427;2.2851648
679;48.7905884;2.2639525
680;48.90347;2.239274
681;48.8680082;2.3508835
682;48.85579;2.374203
683;48.8660947;2.3433342
684;48.9120069;2.2863503
685;48.87215;2.43015
686;48.84925;2.362993
687;48.8586443;2.3841089
688;48.86661;2.36784
689;48.8615346;2.3809277
690;48.8805732;2.3317546
691;48.83369;2.414124
692;48.898303;2.3423252
693;48.88608;2.359072
694;48.8990509;2.3649827
695;48.8287242;2.3165845
696;48.842173;2.323305
697;48.8676044;2.4021436
698;48.8832659;2.3127515
699;48.87565;2.372715
700;48.857259;2.37139
701;48.8848179;2.3901243
702;48.8553672;2.3591939
703;48.85262;2.342107
704;48.81961;2.265943
705;48.8042795;2.3288429
706;48.839191;2.3878529
707;48.8799263;2.4004487
708;48.8351639;2.3446053
709;48.9177255;2.4464355
710;48.8351985;2.2914295
711;48.90387;2.230934
712;48.8650741;2.2053436
713;48.8860877;2.2478443
714;48.8281027;2.2422542
715;48.83545;2.225633
716;48.833663;2.258714
718;48.8703;2.349722
719;48.85648;2.361378
720;48.8737;2.314663
721;48.87006;2.312597
722;48.8795963;2.3263307
723;48.8682112;2.3046348
724;48.8383124;2.3408664
725;48.87031;2.275537
726;48.8792228;2.3839164
727;48.87559;2.399738
729;48.788083;2.216266
730;48.7886841;2.2114032
731;48.9047803;2.2558349
732;48.85317;2.412055
733;48.890711;2.4030061
734;48.84196;2.347262
735;48.8698372;2.3850271
736;48.8328237;2.3624101
737;48.8696994;2.3423247
738;48.86781;2.34525
739;48.8957574;2.3242009
740;48.794223;2.363047
741;48.8777212;2.3409177
742;48.8080853;2.2679023
743;48.8483434;2.3010296
744;48.92648;2.234716
745;48.84019;2.362478
746;48.91845;2.418932
747;48.8139;2.302489
748;48.8552253;2.3984912
749;48.8702567;2.3600462
750;48.8801236;2.3509617
752;48.8642939;2.3314856
753;48.840169;2.229398
754;48.87052;2.486372
755;48.876218;2.475338
756;48.9018633;2.3341342
757;48.90368;2.329361
758;48.89709;2.220012
759;48.88093;2.472356
760;48.8451283;2.3252355
762;48.88126;2.480821
763;48.766;2.470911
764;48.84071;2.409631
765;48.8500605;2.4019645
766;48.8728916;2.4872191
767;48.8124566;2.2378816
768;48.87593;2.169949
769;48.8365078;2.2524132
770;48.8683519;2.2255443
771;48.872759;2.3080661
772;48.8768536;2.3302084
773;48.79479;2.448739
774;48.93164;2.260197
775;48.81731;2.27009
776;48.8455506;2.3012843
777;48.8873092;2.2844274
778;48.89313;2.298737
779;48.8944531;2.2883803
780;48.8953575;2.2922568
781;48.8987082;2.2813485
782;48.8834652;2.2880891
786;48.8318566;2.3202972
787;48.8699508;2.218031
788;48.74356;2.504422
789;48.73963;2.490184
790;48.8612923;2.28423
792;48.8348549;2.3297831
793;48.8344135;2.2464756
794;48.83162;2.230167
795;48.8970781;2.2761987
797;48.8913559;2.291001
798;48.8416996;2.2996144
799;48.8393383;2.2756878
800;48.8351586;2.3730473
801;48.8396733;2.2628916
802;48.8394311;2.3711076
803;48.8397806;2.3124999
804;48.87368;2.291597
805;48.8789949;2.2934366
806;48.8389;2.3202
807;48.8418362;2.3297916
808;48.84665;2.256168
809;48.8465494;2.399841
810;48.8671133;2.3206859
812;48.838726;2.253877
816;48.865247;2.3330531
817;48.8902262;2.3171818
820;48.85231;2.290928
821;48.84734;2.303181
822;48.83363;2.334188
823;48.8408742;2.3149828
826;48.85436;2.3048
828;48.865847;2.353606
829;48.8828226;2.3445195
831;48.8272976;2.2678365
832;48.798768;2.294377
833;48.8587263;2.314834
834;48.78123;2.238153
835;48.8588109;2.3449501
836;48.8829;2.376374
837;48.81637;2.312146
838;48.8205622;2.3643333
839;48.92582;2.274079
840;48.9175117;2.281802
841;48.9179468;2.3189865
842;48.92852;2.27253
843;48.8048765;2.2898962
844;48.8412857;2.2813956
